Nom;Alias;IATA;OACI;Pays
Unknown;\N;-;;\N
Private flight;\N;-;;
135 Airways;\N;;GNL;United States
1Time Airline;\N;1T;RNX;South Africa
2 Sqn No 1 Elementary Flying Training School;\N;;WYT;United Kingdom
213 Flight Unit;\N;;TFU;Russia
223 Flight Unit State Airline;\N;;CHD;Russia
224th Flight Unit;\N;;TTF;Russia
247 Jet Ltd;\N;;TWF;United Kingdom
3D Aviation;\N;;SEC;United States
40-Mile Air;\N;Q5;MLA;United States
4D Air;\N;;QRT;Thailand
611897 Alberta Limited;\N;;THD;Canada
Ansett Australia;\N;AN;AAA;Australia
Abacus International;\N;1B;;Singapore
Abelag Aviation;\N;W9;AAB;Belgium
Army Air Corps;\N;;AAC;United Kingdom
Aero Aviation Centre Ltd.;\N;;AAD;Canada
Aero Servicios Ejecutivos Internacionales;\N;;SII;Mexico
Aero Biniza;\N;;BZS;Mexico
Aero Albatros;\N;;ABM;Spain
Aigle Azur;\N;ZI;AAF;France
Aloha Airlines;\N;AQ;AAH;United States
Alaska Island Air;\N;;AAK;United States
American Airlines;\N;AA;AAL;United States
Aviation Management Corporation;\N;;AAM;United States
Atlantis Airlines (USA);\N;;AAO;United States
Aerovista Airlines;\N;;AAP;United Arab Emirates
Asiana Airlines;\N;OZ;AAR;Republic of Korea
Askari Aviation;\N;4K;AAS;Pakistan
Australia Asia Airlines;\N;;AAU;Australia
Astro Air International;\N;;AAV;United States
Afriqiyah Airways;\N;8U;AAW;Libya
Afrinat International Airlines;\N;Q9;AFU;Gambia
Afric'air Express;\N;;AAX;Ivory Coast
Allegiant Air;\N;G4;AAY;United States
Angus Aviation;\N;;AAZ;Canada
Artem-Avia;\N;;ABA;Ukraine
African Business and Transportations;\N;;ABB;Democratic Republic of the Congo
Aban Air;\N;K5;ABE;Iran
Aerial Oy;\N;;ABF;Finland
Abakan-Avia;\N;;ABG;Russia
ABSA - Aerolinhas Brasileiras;\N;M3;TUS;Brazil
Abaet;\N;;ABJ;Brazil
Alberta Citylink;\N;;ABK;Canada
APSA Colombia;\N;;ABO;Colombia
Aerovias Bueno;\N;;ABU;Colombia
Aerocenter;\N;;ACR;AEROCENTER
Antrak Air;\N;04;ABV;Ghana
Airborne Express;\N;GB;ABX;United States
ABX Air;\N;GB;ABX;United States
ATA Brasil;\N;;ABZ;Brazil
Avcard Services;\N;;ACC;United Kingdom
Academy Airlines;\N;;ACD;United States
Aero Comondu;\N;;ACO;Mexico
Astral Aviation;\N;8V;ACP;Kenya
Air Cess;\N;;ACS;Liberia
Air Aurora;\N;;AAI;United States
Air Cargo Transportation System;\N;;ACU;Kenya
Air Charter Service;\N;;ACV;United Kingdom
Aero Asia International;\N;E4;RSO;Pakistan
Air Charters;\N;;ACX;Canada
Air Togo;\N;YT;TGA;Togo
Air Somalia;\N;;RSM;Somali Republic
Atlas Cargo Lines;\N;;ACY;Morocco
Airservices Australia;\N;;ADA;Australia
Advance Leasing Company;\N;4G;;United States
Aztec Worldwide Airlines;\N;7A;;United States
Air Tindi;\N;8T;;Canadian Territories
Antonov Airlines;\N;;ADB;Ukraine
Air Atlantic Dominicana;\N;;ADC;Dominican Republic
Advanced Air Co.;\N;;ADD;Japan
Ada Air;\N;ZY;ADE;Albania
Aerea Flying Training Organization;\N;;ADG;Spain
Audeli Air;\N;;ADI;Spain
Abicar;\N;;ADJ;Ivory Coast
ADC Airlines;\N;Z7;ADK;Nigeria
Aero Dynamics;\N;;ADL;United Kingdom
Aerolineas Dominicanas;\N;;ADM;Dominican Republic
Aerodienst GmbH;\N;;ADN;Germany
Aerodiplomatic;\N;;ADP;Mexico
Aerodyne;\N;;ADY;United States
Avion Taxi;\N;;ADQ;Canada
Adria Airways;\N;JP;ADR;Slovenia
Aviones de Sonora;\N;;ADS;Mexico
Air Dorval;\N;;ADT;Canada
Airdeal Oy;\N;;ADU;Finland
Advance Air Charters;\N;;ADV;Canada
Air Andaman;\N;;ADW;Thailand
Anderson Aviation;\N;;ADX;United States
Air Europa;\N;UX;AEA;Spain
Air Southwest Ltd.;\N;;ASW;Canada
Air Special;\N;;ASX;Czech Republic
Aero Benin;\N;EM;AEB;Benin
Aerocesar;\N;;AEC;AEROCESAR
Aerotrans Airlines;\N;;AED;Russia
Aegean Airlines;\N;A3;AEE;Greece
Aerofumigaciones Sam;\N;;AEG;Chile
Aeroexpreso Interamericano;\N;;AEI;Colombia
Air Express;\N;;AEJ;Tanzania
Aerocon;\N;;AEK;Bolivia
Aero Madrid;\N;;AEM;Spain
Aeroenlaces Nacionales;\N;;AEN;Mexico
Aeroservicios Ejecutivos Del Occidente;\N;;AEO;Mexico
Aerotec;\N;;AEP;Spain
Air Atlantique;\N;KI;AAG;United Kingdom
Air Europe;\N;PE;AEL;Italy
Air Alma;\N;;AAJ;Canada
Air Express;\N;;AEQ;Sweden
Alaska Central Express;\N;KO;AER;United States
ACES Colombia;\N;;AES;Colombia
Aeronautical Radio of Thailand;\N;;AET;Thailand
Astraeus;\N;5W;AEU;United Kingdom
Aeroventas;\N;;AEV;Mexico
Aerosvit Airlines;\N;VV;AEW;Ukraine
Airway Express;\N;;AEX;United States
