Nom;Ville;IATA;OACI;Lat;Lon;Alt
Goroka Airport;Goroka;GKA;AYGA;-6.0816898345900015;145.391998291;5282
Madang Airport;Madang;MAG;AYMD;-5.20707988739;145.789001465;20
Mount Hagen Kagamuga Airport;Mount Hagen;HGU;AYMH;-5.826789855957031;144.29600524902344;5388
Nadzab Airport;Nadzab;LAE;AYNZ;-6.569803;146.725977;239
Port Moresby Jacksons International Airport;Port Moresby;POM;AYPY;-9.443380355834961;147.22000122070312;146
Wewak International Airport;Wewak;WWK;AYWK;-3.5838301181800003;143.66900634799998;19
Narsarsuaq Airport;Narssarssuaq;UAK;BGBW;61.1604995728;-45.4259986877;112
Godthaab / Nuuk Airport;Godthaab;GOH;BGGH;64.19090271;-51.678100585900005;283
Kangerlussuaq Airport;Sondrestrom;SFJ;BGSF;67.0122218992;-50.7116031647;165
Thule Air Base;Thule;THU;BGTL;76.5311965942;-68.70320129390001;251
Akureyri Airport;Akureyri;AEY;BIAR;65.66000366210939;-18.07270050048828;6
Egilsstaðir Airport;Egilsstadir;EGS;BIEG;65.28330230712889;-14.401399612426758;76
Hornafjörður Airport;Hofn;HFN;BIHN;64.295601;-15.2272;24
Húsavík Airport;Husavik;HZK;BIHU;65.952301;-17.426001;48
Ísafjörður Airport;Isafjordur;IFJ;BIIS;66.05809783935547;-23.13529968261719;8
Keflavik International Airport;Keflavik;KEF;BIKF;63.985000610352;-22.605600357055998;171
Patreksfjörður Airport;Patreksfjordur;PFJ;BIPA;65.555801;-23.965;11
Reykjavik Airport;Reykjavik;RKV;BIRK;64.1299972534;-21.9405994415;48
Siglufjörður Airport;Siglufjordur;SIJ;BISI;66.133301;-18.9167;10
Vestmannaeyjar Airport;Vestmannaeyjar;VEY;BIVM;63.42430114746094;-20.27890014648437;326
Sault Ste Marie Airport;Sault Sainte Marie;YAM;CYAM;46.48500061035156;-84.5093994140625;630
Winnipeg / St. Andrews Airport;Winnipeg;;CYAV;50.0564002991;-97.0325012207;760
Halifax / CFB Shearwater Heliport;Halifax;;CYAW;44.639702;-63.499401;144
St. Anthony Airport;St. Anthony;YAY;CYAY;51.391899108900006;-56.083099365200006;108
Tofino / Long Beach Airport;Tofino;YAZ;CYAZ;49.079833;-125.77558300000001;80
Kugaaruk Airport;Pelly Bay;YBB;CYBB;68.534401;-89.808098;56
Baie Comeau Airport;Baie Comeau;YBC;CYBC;49.13249969482422;-68.20439910888672;71
CFB Bagotville;Bagotville;YBG;CYBG;48.33060073852539;-70.99639892578125;522
Baker Lake Airport;Baker Lake;YBK;CYBK;64.29889678960001;-96.077796936;59
Campbell River Airport;Campbell River;YBL;CYBL;49.95080184936523;-125.27100372314452;346
Brandon Municipal Airport;Brandon;YBR;CYBR;49.91;-99.951897;1343
